source_img,file_name,text,sample
7.jpeg,7_0.jpeg,Ревизская сказка,train
23.jpeg,23_1.jpeg,Ревизская сказка,train
29.jpeg,29_15.jpeg,144 152 Степана Осипова,train
63.jpeg,63_19.jpeg,Когда,train
65.jpeg,65_13.jpeg,ной от на,train
83.jpeg,83_21.jpeg,Когда,train
5.jpeg,5_64.jpeg,городское сословiе по Городу Екатерин,train
93.jpeg,93_58.jpeg,личности бывшiх показаны прописных же нетъ Къ сей Ревизской сказке въместо сказко подательни,train
73.jpeg,73_12.jpeg,числа,train
47.jpeg,47_20.jpeg,Марiя Козмина 24,train
79.jpeg,79_28.jpeg,Семьи,train
55.jpeg,55_37.jpeg,руку приложилъ,train
3.jpeg,3_5.jpeg,во времен ныне,train
9.jpeg,9_6.jpeg,Общества Походильской деревни,train
57.jpeg,57_33.jpeg,Василiй Петровъ,train
86.jpeg,86_22.jpeg,предписанiю Перм,train
37.jpeg,37_51.jpeg,Его дочери Парасковья,train
57.jpeg,57_0.jpeg,Ревизская сказка,train
9.jpeg,9_29.jpeg,№9 №10,train
49.jpeg,49_43.jpeg,Служителя Ека,train
69.jpeg,69_39.jpeg,47,train
9.jpeg,9_30.jpeg,реви реви,train
53.jpeg,53_42.jpeg,отъ 31 мар,train
55.jpeg,55_8.jpeg,Семьи Мужскiй полъ,train
55.jpeg,55_9.jpeg,визiи состояло,train
59.jpeg,59_36.jpeg,Степанъ Павловъ,train
39.jpeg,39_25.jpeg,крестьяне,train
35.jpeg,35_3.jpeg,починка,train
91.jpeg,91_39.jpeg,въ Екатерин,train
91.jpeg,91_33.jpeg,Съ которого,train
19.jpeg,19_31.jpeg,завода,train
24.jpeg,24_43.jpeg,Василия Федорова жена Устинья,train
34.jpeg,34_20.jpeg,на Иванова,train
28.jpeg,28_27.jpeg,та,train
20.jpeg,20_20.jpeg,съ которого,train
17.jpeg,17_10.jpeg,Кто изъ,train
12.jpeg,12_65.jpeg,Аксинья,train
65.jpeg,65_40.jpeg,за № 5911 изъ кре,train
69.jpeg,69_19.jpeg,№9,train
39.jpeg,39_27.jpeg,визiи визiи,train
10.jpeg,10_2.jpeg,Восьмого года февраля двадцать восьмого дня Вятской,train
24.jpeg,24_35.jpeg,660,train
81.jpeg,81_28.jpeg,именно,train
17.jpeg,17_57.jpeg,147 220 Исакъ Яковлевъ,train
7.jpeg,7_44.jpeg,28,train
81.jpeg,81_5.jpeg,г Екатеринбурга,train
33.jpeg,33_43.jpeg,2,train
15.jpeg,15_51.jpeg,3 Иванъ,train
19.jpeg,19_9.jpeg,прибыло,train
65.jpeg,65_38.jpeg,12,train
15.jpeg,15_57.jpeg,4 Исакъ,train
28.jpeg,28_19.jpeg,лиц,train
93.jpeg,93_35.jpeg,времени,train
15.jpeg,15_30.jpeg,Его сыновья,train
69.jpeg,69_25.jpeg,Когда,train
21.jpeg,21_22.jpeg,Артемия Тимофеева,train
69.jpeg,69_5.jpeg,Екатеринбурга,train
57.jpeg,57_3.jpeg,Ревизская сказка,train
59.jpeg,59_56.jpeg,времени,train
73.jpeg,73_49.jpeg,9 месяцев,train
9.jpeg,9_26.jpeg,цо,train
93.jpeg,93_18.jpeg,выбыло,train
61.jpeg,61_28.jpeg,именно Лета,train
6.jpeg,6_17.jpeg,Лета именно лета,train
15.jpeg,15_36.jpeg,26,train
20.jpeg,20_2.jpeg,Ревизская сказка,train
24.jpeg,24_4.jpeg,1858 года марта 31 дня Пермской губернiи Красно,train
43.jpeg,43_5.jpeg,Имена Званiе имя отчество Званiе имя отчество Кто совершилъ Таинство,train
29.jpeg,29_1.jpeg,1858 года марта 31 дня Пермской,train
17.jpeg,17_28.jpeg,роду при,train
33.jpeg,33_11.jpeg,ло,train
38.jpeg,38_34.jpeg,4 1/2,train
51.jpeg,51_45.jpeg,ринбургской Гра,train
91.jpeg,91_44.jpeg,40,train
106.jpeg,106_9.jpeg,ныне,train
62.jpeg,62_5.jpeg,душахъ на лицо,train
28.jpeg,28_44.jpeg,14,train
51.jpeg,51_16.jpeg,Семьи Женскiй полъ,train
85.jpeg,85_14.jpeg,Мещане,train
35.jpeg,35_21.jpeg,197,train
6.jpeg,6_21.jpeg,41,train
89.jpeg,89_12.jpeg,времени,train
77.jpeg,77_37.jpeg,25 января 1864,train
18.jpeg,18_2.jpeg,1858 году марта 31 дня,train
63.jpeg,63_35.jpeg,42,train
13.jpeg,13_11.jpeg,№10,train
35.jpeg,35_25.jpeg,Михаила жена Евдокiя,train
75.jpeg,75_24.jpeg,№10,train
43.jpeg,43_6.jpeg,Рукоприкладство,train
91.jpeg,91_37.jpeg,Лазарь Ивановъ Причисленъ,train
7.jpeg,7_4.jpeg,ринбургского уезда Маминской волости Походильского Сельс,train
38.jpeg,38_24.jpeg,реви реви,train
13.jpeg,13_16.jpeg,Крестьянки,train
25.jpeg,25_13.jpeg,Лета,train
6.jpeg,6_29.jpeg,крестьянина Федея Софронова,train
40.jpeg,40_1.jpeg,Копiя,train
66.jpeg,66_4.jpeg,нова Iонина о состоящихъ душахъ на лицо,train
71.jpeg,71_9.jpeg,Во временной Ныне,train
25.jpeg,25_8.jpeg,ной отлучке на лицо,train
52.jpeg,52_9.jpeg,собственномъ доме,train
67.jpeg,67_59.jpeg,крестьянъ Ма,train
35.jpeg,35_34.jpeg,Козмы жена Ульяна Иванова,train
34.jpeg,34_6.jpeg,взятъ рекрутъ въ,train
19.jpeg,19_4.jpeg,по последней,train
61.jpeg,61_27.jpeg,Лета,train
7.jpeg,7_37.jpeg,Калистрата Софронова жена Зиновья,train
24.jpeg,24_52.jpeg,Петра Федорова жена,train
28.jpeg,28_49.jpeg,15,train
31.jpeg,31_22.jpeg,лета,train
28.jpeg,28_10.jpeg,во времен ныне,train
71.jpeg,71_24.jpeg,№9,train
12.jpeg,12_56.jpeg,Его сыновья,train
25.jpeg,25_22.jpeg,Петра Федорова жена Агрипина,train
17.jpeg,17_52.jpeg,Кто,train
75.jpeg,75_30.jpeg,Лета,train
73.jpeg,73_47.jpeg,Алексей Алексеевъ,train
38.jpeg,38_12.jpeg,Женскiй полъ,train
57.jpeg,57_16.jpeg,Женскiй полъ,train
86.jpeg,86_35.jpeg,Екатеринбурского мещанина,train
28.jpeg,28_33.jpeg,40,train
37.jpeg,37_5.jpeg,по послед изъ то ныне,train
6.jpeg,6_30.jpeg,Копiя,train
69.jpeg,69_53.jpeg,нбургскiй мещанъ Никита Ивановъ Притыкинъ руку приложилъ,train
93.jpeg,93_24.jpeg,Когда,train
87.jpeg,87_48.jpeg,инбурского мещанина Матвея Афанасьева Пшеницына Побезъграмотству,train
81.jpeg,81_21.jpeg,Съ которого,train
38.jpeg,38_15.jpeg,прибыло,train
21.jpeg,21_11.jpeg,лицо,train
45.jpeg,45_5.jpeg,шей ре,train
62.jpeg,62_7.jpeg,в части города,train
93.jpeg,93_29.jpeg,Лета,train
87.jpeg,87_22.jpeg,№9 №10,train
53.jpeg,53_41.jpeg,Его братъ Александръ,train
38.jpeg,38_7.jpeg,ней ревизiи го числа,train
73.jpeg,73_52.jpeg,ницы мещанскiй сынъ Екатерины Марковой побезграмоству её руку приложилъ Екатерин,train
17.jpeg,17_56.jpeg,Взять рекрутъ,train
66.jpeg,66_0.jpeg,Дополнительная ревизская сказка,train
85.jpeg,85_30.jpeg,бургскихъ заводовъ,train
81.jpeg,81_16.jpeg,выбыло лицо,train
77.jpeg,77_4.jpeg,города Екатеринбурга,train
70.jpeg,70_4.jpeg,о состоящихъ душахъ на лицо,train
81.jpeg,81_23.jpeg,Лета,train
31.jpeg,31_12.jpeg,ке на лицо,train
37.jpeg,37_33.jpeg,мени,train
15.jpeg,15_60.jpeg,12,train
75.jpeg,75_11.jpeg,на,train
31.jpeg,31_61.jpeg,52,train
12.jpeg,12_21.jpeg,и прочихъ женскаго,train
53.jpeg,53_34.jpeg,Причисленъ,train
93.jpeg,93_14.jpeg,Семьи,train
69.jpeg,69_46.jpeg,крестьянъ Ма,train
12.jpeg,12_27.jpeg,нно и съ чего разрешения ко,train
89.jpeg,89_8.jpeg,10,train
54.jpeg,54_2.jpeg,года мая двадцать шестого дня Пермской,train
93.jpeg,93_49.jpeg,№6481 изъ бы,train
67.jpeg,67_36.jpeg,Федоръ Степановъ,train
62.jpeg,62_9.jpeg,максима Дьяконова,train
57.jpeg,57_39.jpeg,палаты отъ,train
63.jpeg,63_6.jpeg,Екатеринбурга,train
73.jpeg,73_3.jpeg,1866 года Iюля 1 дня Пермской Губернiи,train
75.jpeg,75_15.jpeg,Женскiй полъ,train
57.jpeg,57_34.jpeg,въ мещане,train
67.jpeg,67_58.jpeg,№3430 изъ,train
28.jpeg,28_35.jpeg,Малиновцев,train
11.jpeg,11_32.jpeg,9,train
62.jpeg,62_6.jpeg,Жительство имею въ,train
73.jpeg,73_8.jpeg,визiи состояло,train
83.jpeg,83_3.jpeg,1867 года сентября 12 дня Пермской Губернiи г,train
91.jpeg,91_22.jpeg,лицо,train
210.jpeg,210_0.jpeg,Ревизская сказка,train
71.jpeg,71_27.jpeg,Мещане,train
55.jpeg,55_0.jpeg,Дополнительная ревизская сказка,train
65.jpeg,65_10.jpeg,яло и после,train
53.jpeg,53_47.jpeg,Итого мужеска пола два 2,train
93.jpeg,93_23.jpeg,лица,train
53.jpeg,53_23.jpeg,Когда,train
4.jpeg,4_0.jpeg,Выписка изъ ревизской Сказки,train
79.jpeg,79_15.jpeg,числа,train
67.jpeg,67_24.jpeg,№9,train
71.jpeg,71_25.jpeg,Съ которого,train
65.jpeg,65_28.jpeg,Никонъ Ивановъ Причисленъ по,train
191.jpeg,191_5.jpeg,о состоящихъ душахъ на лицо,train
29.jpeg,29_20.jpeg,Пелагея Павлова,train
88.jpeg,88_6.jpeg,отлучке лицо,train
70.jpeg,70_5.jpeg,Жительство имею,train
6.jpeg,6_25.jpeg,вья,train
12.jpeg,12_17.jpeg,нiя грамотенъ ли,train
5.jpeg,5_2.jpeg,1858 года Марта 1го дня Пермской,train
77.jpeg,77_5.jpeg,По последней Изъ того Ныне,train
29.jpeg,29_6.jpeg,Семьи,train
31.jpeg,31_2.jpeg,1858 года Апреля 10 дня Вятской губернiи Уржумского уезда 1858 года Апреля 10 дня Вятской губернiи Уржумского уезда,train
88.jpeg,88_8.jpeg,№10,train
61.jpeg,61_2.jpeg,1867 года Iюня 14 дня Пермской губернiи города,train
81.jpeg,81_1.jpeg,Ревизская Сказка,train
55.jpeg,55_5.jpeg,Екатеринбурга,train
87.jpeg,87_5.jpeg,г Екатеринбурга,train
63.jpeg,63_48.jpeg,Итого мужскаго пола две души,train
12.jpeg,12_68.jpeg,1843,train
57.jpeg,57_47.jpeg,теринбург,train
65.jpeg,65_31.jpeg,предписанiю Пер,train
61.jpeg,61_8.jpeg,яло и после,train
71.jpeg,71_38.jpeg,Никита Ивановъ Причисленъ по,train
28.jpeg,28_15.jpeg,ной от,train
31.jpeg,31_14.jpeg,№9 №10,train
5.jpeg,5_55.jpeg,6 1/2,train
73.jpeg,73_19.jpeg,лицо,train
86.jpeg,86_2.jpeg,г Екатеринбурга,train
75.jpeg,75_36.jpeg,Николай Яковлевъ предписанiю,train
79.jpeg,79_20.jpeg,выбыло,train
28.jpeg,28_24.jpeg,с которого ле,train
6.jpeg,6_24.jpeg,но,train
85.jpeg,85_36.jpeg,грамотству его и личной прозбе Ты,train
33.jpeg,33_39.jpeg,21,train
51.jpeg,51_20.jpeg,лицо,train
33.jpeg,33_23.jpeg,54,train
21.jpeg,21_0.jpeg,Ревизская сказка,train
67.jpeg,67_39.jpeg,39,train
73.jpeg,73_42.jpeg,21,train
57.jpeg,57_45.jpeg,1863 г за № 15281,train
12.jpeg,12_87.jpeg,въ 1864 г его,train
283.jpeg,283_0.jpeg,Ревизская сказка,train
81.jpeg,81_40.jpeg,Итого мужескаго пола одна душа,train
49.jpeg,49_28.jpeg,именно,train
106.jpeg,106_20.jpeg,Лета,train
83.jpeg,83_25.jpeg,Лета,train
69.jpeg,69_15.jpeg,на,train
63.jpeg,63_53.jpeg,личности бывшiх показана прописных нетъ къ сей ревизской сказке самъ сказкодатель Екате,train
358.jpeg,358_1.jpeg,1870 года Апреля 27 дня Пермской,train
40.jpeg,40_2.jpeg,Копiя,train
37.jpeg,37_6.jpeg,ней ревизiи го числа,train
106.jpeg,106_27.jpeg,Пермской Ка,train
59.jpeg,59_18.jpeg,лицо,train
75.jpeg,75_43.jpeg,изъ канцеляр,train
5.jpeg,5_48.jpeg,8,train
11.jpeg,11_1.jpeg,1858 года февраля 28 дня Вятской губернiи Орловского,train
59.jpeg,59_2.jpeg,1867 года июня 2 дня Пермской Губернiи города Ека,train
73.jpeg,73_9.jpeg,на,train
83.jpeg,83_48.jpeg,1,train
63.jpeg,63_14.jpeg,оной прибыло выбыло,train
59.jpeg,59_19.jpeg,N9,train
25.jpeg,25_3.jpeg,Красноуфимского уезда Верхне Иргинс,train
38.jpeg,38_35.jpeg,29 августа,train
106.jpeg,106_22.jpeg,мещанки,train
20.jpeg,20_30.jpeg,въ 1855,train
61.jpeg,61_47.jpeg,нбургский мещанинъ Владимиръ Алексеевъ Антоновъ руку приложилъ,train
71.jpeg,71_5.jpeg,ринбурга,train
224.jpeg,224_0.jpeg,Ревизская сказка,train
47.jpeg,47_12.jpeg,стояло было,train
49.jpeg,49_19.jpeg,№9 №10,train
75.jpeg,75_40.jpeg,Холостъ,train
5.jpeg,5_51.jpeg,сыновья,train
49.jpeg,49_22.jpeg,ревизiи,train
15.jpeg,15_22.jpeg,ревизiи ревизiи Крестьяне Лета,train
24.jpeg,24_10.jpeg,Во времен Ныне,train
23.jpeg,23_16.jpeg,Лета,train
71.jpeg,71_28.jpeg,лета,train
45.jpeg,45_14.jpeg,24,train
39.jpeg,39_0.jpeg,1858 года февраля месяца 12 дня Вятской губернiи Ека,train
28.jpeg,28_43.jpeg,Степана Осипова,train
283.jpeg,283_5.jpeg,Николая Семенова Алексеева о,train
85.jpeg,85_33.jpeg,Всего въ сей ревизской сказке заключается наличныхъ,train
11.jpeg,11_18.jpeg,визiи визiи,train
25.jpeg,25_25.jpeg,1,train
41.jpeg,41_4.jpeg,Его сыновья,train
71.jpeg,71_12.jpeg,на,train
24.jpeg,24_51.jpeg,19,train
49.jpeg,49_21.jpeg,Съ которого,train
5.jpeg,5_56.jpeg,Что действительно копiя сiя списана,train
84.jpeg,84_3.jpeg,Пермской губернiи Екатеринбургского меща,train
85.jpeg,85_11.jpeg,№9,train
59.jpeg,59_53.jpeg,чке,train
34.jpeg,34_11.jpeg,48,train
89.jpeg,89_9.jpeg,Ревизiи Ревизiи,train
47.jpeg,47_3.jpeg,По быв Къ тому Ныне,train
33.jpeg,33_22.jpeg,297 220 Давидъ Даниловъ,train
48.jpeg,48_2.jpeg,февраля 15 дня Пермской губернiи города Ека,train
77.jpeg,77_18.jpeg,лицо,train
91.jpeg,91_16.jpeg,Женскiй полъ,train
69.jpeg,69_49.jpeg,минской воло,train
83.jpeg,83_4.jpeg,г Екатеринбурга,train
65.jpeg,65_14.jpeg,оной прибыло выбыло лица,train
39.jpeg,39_4.jpeg,по послед изъ то ныне,train
76.jpeg,76_8.jpeg,въ 2й части города,train
28.jpeg,28_29.jpeg,времени та,train
85.jpeg,85_22.jpeg,Пермской Казен,train
358.jpeg,358_26.jpeg,време,train
29.jpeg,29_8.jpeg,ной отлу,train
55.jpeg,55_16.jpeg,лица,train
93.jpeg,93_46.jpeg,10,train
65.jpeg,65_18.jpeg,№9 №10,train
23.jpeg,23_9.jpeg,№10,train
12.jpeg,12_1.jpeg,Лета,train
93.jpeg,93_32.jpeg,ревизiи ревизiи,train
49.jpeg,49_26.jpeg,Лета,train
80.jpeg,80_5.jpeg,на лицо,train
33.jpeg,33_32.jpeg,14,train
51.jpeg,51_0.jpeg,Дополнительная Ревизская Сказка,train
59.jpeg,59_9.jpeg,Семьи,train
87.jpeg,87_51.jpeg,Егоровъ,train
38.jpeg,38_11.jpeg,Семьи,train
12.jpeg,12_70.jpeg,Миронъ 14,train
3.jpeg,3_8.jpeg,Семьи,train
17.jpeg,17_47.jpeg,влять чужое семейство,train
106.jpeg,106_0.jpeg,Ревизская сказка,train
34.jpeg,34_15.jpeg,Хрисанфовы сыновья,train
31.jpeg,31_18.jpeg,с которого,train
283.jpeg,283_4.jpeg,Екатеринбургского мещанина,train
33.jpeg,33_27.jpeg,32,train
21.jpeg,21_14.jpeg,ле,train
13.jpeg,13_10.jpeg,№9,train
12.jpeg,12_84.jpeg,въ 1860 году,train
67.jpeg,67_28.jpeg,лета,train
20.jpeg,20_40.jpeg,8,train
22.jpeg,22_2.jpeg,уезда Верхне Иргинского завода,train
71.jpeg,71_49.jpeg,23,train
39.jpeg,39_5.jpeg,ней ревизiи го числа,train
49.jpeg,49_29.jpeg,ревизiи Мещанки,train
9.jpeg,9_45.jpeg,42,train
38.jpeg,38_14.jpeg,и после оной выбы,train
90.jpeg,90_1.jpeg,Тысяча восемьсотъ шестьдесятъ седьмаго,train
51.jpeg,51_37.jpeg,указу Пермской,train
60.jpeg,60_4.jpeg,ксеева Андреева о состоящихъ душахъ на,train
69.jpeg,69_16.jpeg,прибыло,train
57.jpeg,57_52.jpeg,мещанина Василiя Петрова Колпакова по личной прозьбе руку приложилъ,train
58.jpeg,58_2.jpeg,второго дня Пермской губернiи города Екатеринбура,train
37.jpeg,37_40.jpeg,33а,train
67.jpeg,67_33.jpeg,зiи зiи,train
7.jpeg,7_50.jpeg,30,train
75.jpeg,75_20.jpeg,лицо,train
73.jpeg,73_2.jpeg,1866 года Iюля 1 дня Пермской Губернiи,train
73.jpeg,73_40.jpeg,Палаты отъ 12,train
17.jpeg,17_45.jpeg,предста не поступилъ ли,train
20.jpeg,20_31.jpeg,жена Ксенья Алексан,train
81.jpeg,81_13.jpeg,отлу на,train
85.jpeg,85_31.jpeg,Итого мужескаго пола одна душа,train
31.jpeg,31_28.jpeg,144,train
76.jpeg,76_1.jpeg,Тысяча восемьсотъ шестьдесятъ седмого,train
69.jpeg,69_7.jpeg,Во временной Ныне,train
51.jpeg,51_10.jpeg,Ныне,train
43.jpeg,43_13.jpeg,Январь,train
53.jpeg,53_32.jpeg,Лета,train
60.jpeg,60_2.jpeg,четырнадцатого дня Пермской губернiи города,train
12.jpeg,12_6.jpeg,семействъ,train
50.jpeg,50_6.jpeg,Жительство имею,train
92.jpeg,92_0.jpeg,Ревизская Сказка,train
53.jpeg,53_14.jpeg,на,train
3.jpeg,3_11.jpeg,Лицо,train
67.jpeg,67_53.jpeg,28 марта,train
59.jpeg,59_28.jpeg,реви реви,train
11.jpeg,11_14.jpeg,№,train
75.jpeg,75_37.jpeg,Пермской ка,train
49.jpeg,49_5.jpeg,По последней,train
59.jpeg,59_29.jpeg,Мещанки,train
86.jpeg,86_25.jpeg,Палаты отъ,train
7.jpeg,7_26.jpeg,Когда,train
6.jpeg,6_5.jpeg,нане,train
46.jpeg,46_6.jpeg,1867 года,train
12.jpeg,12_33.jpeg,душъ рекрутской повинности,train
9.jpeg,9_10.jpeg,Изъ того,train
35.jpeg,35_27.jpeg,Его дочери Анна,train
224.jpeg,224_8.jpeg,бурга въ офицерской,train
7.jpeg,7_24.jpeg,прибыло,train
358.jpeg,358_13.jpeg,на,train
43.jpeg,43_10.jpeg,шихся какого вероисповеданiя,train
5.jpeg,5_63.jpeg,лучаю ходатайства его на перемещенiе въ,train
24.jpeg,24_48.jpeg,Пелагея,train
3.jpeg,3_2.jpeg,1858 года марта 1го дня Пермской Губернiи,train
106.jpeg,106_11.jpeg,на,train
37.jpeg,37_8.jpeg,Семьи,train
51.jpeg,51_43.jpeg,монастырскихъ,train
79.jpeg,79_25.jpeg,Мещане,train
17.jpeg,17_3.jpeg,Лета,train
85.jpeg,85_19.jpeg,Причисленъ по,train
20.jpeg,20_17.jpeg,прибыло выбыло лицо,train
49.jpeg,49_46.jpeg,"Всего въ сей ревизской сказке заключается душъ мужски пола одна, въ наличности",train
87.jpeg,87_35.jpeg,Матвей Афана,train
27.jpeg,27_28.jpeg,21,train
106.jpeg,106_25.jpeg,предписанiю,train
5.jpeg,5_10.jpeg,Семьи,train
28.jpeg,28_45.jpeg,Матвей,train
34.jpeg,34_23.jpeg,Висарiонъ,train
93.jpeg,93_10.jpeg,ревизiи состояло,train
15.jpeg,15_0.jpeg,Ревизская сказка,train
35.jpeg,35_29.jpeg,2,train
39.jpeg,39_26.jpeg,лета имен лета,train
89.jpeg,89_13.jpeg,Лета,train
17.jpeg,17_44.jpeg,году,train
24.jpeg,24_19.jpeg,прибыло,train
5.jpeg,5_52.jpeg,Осипъ,train
6.jpeg,6_28.jpeg,Копiя ревизской сказки о семействе,train
37.jpeg,37_52.jpeg,Григорiй,train
75.jpeg,75_6.jpeg,По последней,train
17.jpeg,17_59.jpeg,въ 1854 году Иванъ,train
59.jpeg,59_15.jpeg,Семьи,train
12.jpeg,12_67.jpeg,въ 1866 г,train
75.jpeg,75_14.jpeg,Семьи,train
77.jpeg,77_27.jpeg,рого вре Лета,train
38.jpeg,38_10.jpeg,на ли,train
31.jpeg,31_44.jpeg,20,train
35.jpeg,35_6.jpeg,Женскiй полъ,train
37.jpeg,37_38.jpeg,16,train
86.jpeg,86_9.jpeg,на,train
12.jpeg,12_75.jpeg,9,train
27.jpeg,27_24.jpeg,16 и,train
27.jpeg,27_20.jpeg,40,train
358.jpeg,358_6.jpeg,вовремен ныне,train
75.jpeg,75_16.jpeg,прибыло,train
81.jpeg,81_17.jpeg,чке лицо,train
13.jpeg,13_5.jpeg,вовремен Ныне,train
85.jpeg,85_34.jpeg,шiм показаны прописных нетъ къ сей ревизской,train
54.jpeg,54_5.jpeg,шахъ на лицо,train
9.jpeg,9_21.jpeg,на ли,train
43.jpeg,43_15.jpeg,12 12,train
106.jpeg,106_18.jpeg,лицо,train
9.jpeg,9_14.jpeg,Мужскiй полъ,train
63.jpeg,63_36.jpeg,Ферапонта Иванова жена Сте,train
69.jpeg,69_32.jpeg,времени,train
73.jpeg,73_37.jpeg,времени,train
31.jpeg,31_71.jpeg,12,train
86.jpeg,86_32.jpeg,Всего въ Сей Ревизской Сказке заключается на,train
34.jpeg,34_10.jpeg,1861 г,train
86.jpeg,86_34.jpeg,Жительство имею въ,train
55.jpeg,55_22.jpeg,Съ которого,train
17.jpeg,17_64.jpeg,Его сынъ Иванъ,train
81.jpeg,81_9.jpeg,Семьи Мужскiй полъ,train
93.jpeg,93_34.jpeg,Лета,train
65.jpeg,65_9.jpeg,ревизiи состо,train
19.jpeg,19_18.jpeg,умеръ,train
7.jpeg,7_33.jpeg,рого вре Лета,train
81.jpeg,81_10.jpeg,числа,train
77.jpeg,77_15.jpeg,лучке,train
15.jpeg,15_29.jpeg,52,train
87.jpeg,87_47.jpeg,шiе показаны прописных же нетъ къ сей Ревизской Сказке Въместо сказко подателя Екатер,train
34.jpeg,34_8.jpeg,Грамотенъ,train
59.jpeg,59_51.jpeg,ной отлу,train
83.jpeg,83_22.jpeg,№9 №10,train
17.jpeg,17_30.jpeg,принадлежа,train
52.jpeg,52_2.jpeg,года мая восемнадцатого дня Пермской,train
91.jpeg,91_62.jpeg,Ревизской сказке руку приложилъ мещанинъ Лазарь Баченовъ,train
69.jpeg,69_17.jpeg,выбыло лицо,train
5.jpeg,5_1.jpeg,Ревизская сказка,train
35.jpeg,35_8.jpeg,отлуч на ли,train
51.jpeg,51_50.jpeg,показана и прописных нетъ къ сей ревизской сказке вместо сказко подателя Екатеринбург,train
27.jpeg,27_19.jpeg,Малиновцев,train
34.jpeg,34_7.jpeg,померъ въ,train
19.jpeg,19_3.jpeg,ского завода,train
24.jpeg,24_25.jpeg,№9 №10,train
358.jpeg,358_28.jpeg,Мещане,train
31.jpeg,31_20.jpeg,Крестьяне,train
35.jpeg,35_22.jpeg,220,train
77.jpeg,77_42.jpeg,"Всего въ сей ревизской сказке заключается наличныхъ душъ мужеска пола одна, и въ наличности",train
67.jpeg,67_20.jpeg,Когда имен,train
59.jpeg,59_7.jpeg,Ныне,train
83.jpeg,83_24.jpeg,Мещане,train
71.jpeg,71_54.jpeg,Всего въ сей ревизской сказке заключается наличныхъ душъ мужескаго пола два и женска,train
69.jpeg,69_38.jpeg,брака Анна Егорова,train
31.jpeg,31_9.jpeg,мужскiй полъ,train
62.jpeg,62_8.jpeg,улице въ доме мещанина,train
51.jpeg,51_26.jpeg,ревизiи ревизiи,train
3.jpeg,3_12.jpeg,Съ которого,train
61.jpeg,61_13.jpeg,Семьи,train
49.jpeg,49_38.jpeg,Пермской Казен,train
9.jpeg,9_13.jpeg,Семьи,train
91.jpeg,91_9.jpeg,Ныне,train
37.jpeg,37_18.jpeg,цо,train
74.jpeg,74_5.jpeg,душахъ на лицо,train
358.jpeg,358_17.jpeg,выбыло лицо,train
50.jpeg,50_4.jpeg,"Афанасьева Пивоварова, О состоящихъ душах",train
63.jpeg,63_28.jpeg,ревизiи ревизiи Мещанки,train
71.jpeg,71_56.jpeg,сказкоподатель Екатеринбур,train
80.jpeg,80_3.jpeg,губернiи Екатеринбургского мещанина Ивана,train
83.jpeg,83_33.jpeg,Гаврiила Иванова жена,train
12.jpeg,12_46.jpeg,по найму за чужое семейство которомъ,train
93.jpeg,93_31.jpeg,именно,train
33.jpeg,33_5.jpeg,мужскiй полъ,train
83.jpeg,83_52.jpeg,душъ мужескаго пола одна и женскаго две прописных нетъ въ томъ сказкоподатель,train
5.jpeg,5_16.jpeg,на,train
358.jpeg,358_11.jpeg,яло и,train
177.jpeg,177_0.jpeg,Ревизская сказка,train
358.jpeg,358_7.jpeg,зiй состо,train
53.jpeg,53_16.jpeg,ной от,train
28.jpeg,28_5.jpeg,губернiи Красноуфимского уезда,train
31.jpeg,31_23.jpeg,ревиз ревиз,train
65.jpeg,65_11.jpeg,числа на,train
67.jpeg,67_26.jpeg,реви,train
67.jpeg,67_45.jpeg,Дети ихъ,train
35.jpeg,35_24.jpeg,59,train
45.jpeg,45_15.jpeg,ниловъ,train
82.jpeg,82_3.jpeg,ской Губернiи Екатеринбургского меща,train
67.jpeg,67_38.jpeg,по предпи,train
12.jpeg,12_60.jpeg,19,train
15.jpeg,15_3.jpeg,1858 года марта 17 дня Пермской,train
79.jpeg,79_27.jpeg,Лета,train
18.jpeg,18_1.jpeg,Ревизская сказка,train
86.jpeg,86_1.jpeg,1867 года сентября 29 дня Пермской Губернiи,train
17.jpeg,17_63.jpeg,Дочери Пелагея,train
66.jpeg,66_3.jpeg,Екатеринбургскаго мещанина Федора Степа,train
106.jpeg,106_16.jpeg,лицо,train
28.jpeg,28_34.jpeg,жена Васса Алексеева 46,train
39.jpeg,39_19.jpeg,цо,train
88.jpeg,88_12.jpeg,времени,train
31.jpeg,31_67.jpeg,Его дочь Настасья,train
67.jpeg,67_3.jpeg,1867 года Iюня 19 дня Пермской губернiи города,train
67.jpeg,67_10.jpeg,на,train
106.jpeg,106_4.jpeg,губернии города Екатеринбурга,train
77.jpeg,77_31.jpeg,Причисленъ по пред,train
73.jpeg,73_10.jpeg,Семьи Мужскiй Полъ,train
9.jpeg,9_27.jpeg,№9 №10,train
63.jpeg,63_40.jpeg,42,train
3.jpeg,3_27.jpeg,Сестры: Анна,train
49.jpeg,49_33.jpeg,въ Екатерин-,train
29.jpeg,29_17.jpeg,жена Васса Алексеева,train
25.jpeg,25_20.jpeg,2,train
12.jpeg,12_14.jpeg,Въ которомъ Въ которомъ  году Какого вероисповида,train
67.jpeg,67_13.jpeg,Семьи Мужскiй полъ,train
12.jpeg,12_49.jpeg,преступникъ,train
6.jpeg,6_12.jpeg,ле оной прибыло выбыло лицо,train
31.jpeg,31_39.jpeg,Его же дочери Марья,train
